Community District,Poverty Rate,Asian,Black,Latino,White
Astoria(Q01),11.50%,12.80%,21.80%,14.80%,7.70%
Battery Park/Tribeca(M01),6.10%,13.50%,10.00%,3.50%,4.90%
Bay Ridge(K10),13.00%,23.80%,35.00%,12.10%,8.10%
Bayside(Q11),7.00%,11.90%,1.20%,2.40%,4.40%
Bedford Park(B07),25.80%,19.20%,27.90%,27.60%,13.40%
Bedford Stuyvesant(K03),23.70%,32.10%,19.80%,35.60%,22.80%
Bensonhurst(K11),15.00%,10.20%,16.30%,19.50%,16.80%
Borough Park(K12),29.30%,18.70%,0.00%,34.70%,30.00%
Brownsville(K16),35.40%,78.90%,33.80%,41.70%,15.70%
Bushwick(K04),23.40%,5.70%,32.10%,25.10%,13.00%
Canarsie(K18),10.80%,10.00%,9.70%,18.00%,12.00%
Central Harlem(M10),21.60%,10.80%,27.00%,23.00%,4.40%
Chelsea/Clinton(M04),10.00%,10.60%,27.70%,11.70%,8.60%
Concourse/Highbridge(B04),28.60%,57.00%,29.50%,27.30%,22.60%
Coney Island(K13),27.80%,43.40%,29.30%,30.00%,23.50%
Crown Heights North(K08),17.20%,19.00%,24.50%,13.80%,6.60%
Crown Heights South(K09),16.40%,35.10%,15.80%,11.20%,20.30%
East Flatbush(K17),8.70%,2.10%,8.30%,15.60%,14.70%
East Harlem(M11),31.30%,21.40%,36.10%,34.90%,13.10%
East New York(K05),23.40%,17.90%,25.60%,20.30%,13.50%
East Tremont(B06),35.20%,54.70%,34.10%,35.20%,49.60%
Elmhurst/Corona(Q04),8.50%,5.40%,11.70%,10.50%,8.10%
Flatbush/Midwood(K14),11.40%,25.30%,12.00%,14.40%,7.30%
Flushing(Q07),15.40%,16.30%,32.60%,21.60%,9.30%
Fort Greene/Brooklyn Hts(K02),14.70%,20.70%,21.50%,23.20%,9.60%
Fresh Meadows/Briarwood(Q08),12.00%,13.50%,9.20%,16.50%,9.30%
Greenwich Village(M02),6.10%,13.50%,10.00%,3.50%,4.90%
Howard Beach(Q10),7.50%,8.40%,6.80%,7.00%,7.20%
Hunts Point(B02),39.30%,0.00%,44.40%,37.50%,49.20%
Jackson Heights(Q03),13.90%,13.20%,7.20%,15.50%,5.60%
Jamaica/St. Albans(Q12),11.50%,12.40%,9.90%,14.30%,19.80%
Lower East Side(M03),23.60%,28.60%,36.80%,27.60%,10.40%
Manhattanville(M09),20.50%,30.50%,14.70%,29.20%,10.30%
Midtown Business District(M05),10.00%,10.60%,27.70%,11.70%,8.60%
Morrisania(B03),35.20%,54.70%,34.10%,35.20%,49.60%
Mott Haven(B01),39.30%,0.00%,44.40%,37.50%,49.20%
Murray Hill/Stuyvesant(M06),6.50%,13.50%,11.50%,10.60%,4.20%
Park Slope(K06),6.40%,0.80%,29.70%,18.60%,2.40%
Pelham Parkway(B11),13.80%,9.90%,18.10%,11.70%,16.10%
Queens Village(Q13),5.70%,7.60%,4.90%,4.50%,10.20%
Rego Park/Forest Hills(Q06),9.40%,8.80%,0.30%,12.20%,8.60%
Ridgewood/Glendale(Q05),9.00%,5.10%,5.50%,12.90%,7.50%
Riverdale(B08),16.90%,13.10%,8.40%,28.00%,2.70%
Sheepshead Bay(K15),10.20%,9.60%,9.50%,25.60%,8.50%
South Beach(S02),6.30%,9.20%,5.60%,6.70%,5.30%
St. George(S01),10.70%,5.30%,21.30%,13.90%,3.60%
Sunnyside/Woodside(Q02),8.60%,10.50%,16.90%,7.80%,7.00%
Sunset Park(K07),18.00%,25.50%,21.30%,19.30%,6.00%
The Rockaways(Q14),19.20%,26.50%,20.80%,20.10%,16.80%
Throgs Neck(B10),13.20%,26.80%,12.40%,13.30%,11.70%
Tottenville(S03),3.80%,8.80%,4.80%,4.40%,3.30%
Unionport/Soundview(B09),26.60%,9.80%,28.10%,27.90%,13.80%
University Heights(B05),32.30%,6.70%,31.60%,32.90%,46.20%
Upper East Side(M08),4.90%,5.60%,35.00%,8.70%,3.60%
Upper West Side(M07),8.20%,7.40%,40.90%,13.00%,5.10%
Washington Heights(M12),15.10%,31.40%,12.40%,15.70%,12.40%
Williamsbridge(B12),17.80%,13.10%,13.90%,24.40%,18.50%
Williamsburg/Greenpoint(K01),21.90%,15.70%,26.10%,18.60%,24.60%
Woodhaven(Q09),10.70%,14.90%,11.00%,7.30%,7.40%
